i,j,x,y,p,w,q
4,2,0.098039,0.058824,1.269379,1.001730,0.000001
4,3,0.098039,0.078431,1.254513,1.002307,0.000002
4,4,0.098039,0.098039,1.235789,1.002884,0.000005
4,5,0.098039,0.117647,1.213490,1.003460,0.000010
4,6,0.098039,0.137255,1.187955,1.004037,0.000022
4,7,0.098039,0.156863,1.159571,1.004614,0.000043
4,8,0.098039,0.176471,1.128768,1.005190,0.000083
4,9,0.098039,0.196078,1.096013,1.005767,0.000153
4,10,0.098039,0.215686,1.061802,1.006344,0.000272
4,11,0.098039,0.235294,1.026655,1.006920,0.000467
4,12,0.098039,0.254902,0.991104,1.007497,0.000769
4,13,0.098039,0.274510,0.955687,1.008074,0.001220
4,14,0.098039,0.294118,0.920942,1.008651,0.001862
4,15,0.098039,0.313725,0.887396,1.009227,0.002735
4,16,0.098039,0.333333,0.855557,1.009804,0.003866
4,17,0.098039,0.352941,0.825907,1.010381,0.005258
4,18,0.098039,0.372549,0.798896,1.010957,0.006882
4,19,0.098039,0.392157,0.774934,1.011534,0.008668
4,20,0.098039,0.411765,0.754383,1.012111,0.010505
4,21,0.098039,0.431373,0.737556,1.012687,0.012252
4,22,0.098039,0.450980,0.724708,1.013264,0.013750
4,23,0.098039,0.470588,0.716032,1.013841,0.014849
4,24,0.098039,0.490196,0.711661,1.014418,0.015431
4,25,0.098039,0.509804,0.711661,1.014994,0.015431
4,26,0.098039,0.529412,0.716032,1.015571,0.014849
4,27,0.098039,0.549020,0.724708,1.016148,0.013750
4,28,0.098039,0.568627,0.737556,1.016724,0.012252
4,29,0.098039,0.588235,0.754383,1.017301,0.010505
4,30,0.098039,0.607843,0.774934,1.017878,0.008668
4,31,0.098039,0.627451,0.798896,1.018454,0.006882
4,32,0.098039,0.647059,0.825907,1.019031,0.005258
4,33,0.098039,0.666667,0.855557,1.019608,0.003866
4,34,0.098039,0.686275,0.887396,1.020185,0.002735
4,35,0.098039,0.705882,0.920942,1.020761,0.001862
4,36,0.098039,0.725490,0.955687,1.021338,0.001220
4,37,0.098039,0.745098,0.991104,1.021915,0.000769
4,38,0.098039,0.764706,1.026655,1.022491,0.000467
4,39,0.098039,0.784314,1.061802,1.023068,0.000272
4,40,0.098039,0.803922,1.096013,1.023645,0.000153
4,41,0.098039,0.823529,1.128768,1.024221,0.000083
4,42,0.098039,0.843137,1.159571,1.024798,0.000043
4,43,0.098039,0.862745,1.187955,1.025375,0.000022
4,44,0.098039,0.882353,1.213490,1.025952,0.000010
4,45,0.098039,0.901961,1.235789,1.026528,0.000005
4,46,0.098039,0.921569,1.254513,1.027105,0.000002
4,47,0.098039,0.941176,1.269379,1.027682,0.000001
4,48,0.098039,0.960784,1.280162,1.028258,0.000000
4,49,0.098039,0.980392,1.286697,1.028835,0.000000
5,0,0.117647,0.019608,1.334295,1.000692,0.000000
5,1,0.117647,0.039216,1.326674,1.001384,0.000001
5,2,0.117647,0.058824,1.314101,1.002076,0.000002
5,3,0.117647,0.078431,1.296767,1.002768,0.000005
5,4,0.117647,0.098039,1.274934,1.003460,0.000010
5,5,0.117647,0.117647,1.248934,1.004152,0.000022
